Age_Group,Gender,Salary,Education,Employment,Location_by_region,Choco_Consumption,Sustainability_Score
1,2,1,2,1,1,4,-0.6645
1,1,3,2,1,1,4,-0.92765
2,1,4,2,1,1,3,-0.4435
2,2,4,2,1,2,3,0.1318
1,2,3,2,1,1,2,-0.14945
2,2,2,1,1,1,2,-0.61381
1,2,3,2,1,1,2,-0.72296
2,2,3,2,1,1,5,-0.72257
1,2,3,2,1,1,2,-0.7527
1,1,3,2,1,1,3,-0.72643
2,1,3,2,7,1,5,-0.5247
2,1,0,2,1,1,4,-1.35242
2,2,3,2,1,1,5,-0.50505
1,2,3,2,1,1,3,-0.85406
1,1,0,2,3,7,1,0.72361
1,2,1,1,2,1,2,-0.61381
1,1,1,1,4,1,1,-1.14517
2,1,4,2,1,1,2,-0.19508
2,1,3,2,1,1,2,-0.83133
1,2,2,2,3,1,5,-0.54042
2,2,4,2,1,1,3,-0.06902
1,1,0,1,3,1,2,-0.55226
1,2,3,2,1,1,4,-0.83133
2,2,3,2,1,1,2,-0.1683
2,1,3,2,1,1,4,-0.73443
1,1,0,1,3,1,2,-0.55226
1,1,1,2,3,1,2,-0.11584
2,2,3,2,1,1,4,-0.72257
2,2,0,2,1,1,3,0.41886
1,2,2,2,3,1,1,0.17122
2,2,0,2,2,1,3,-0.37357
1,1,2,1,3,3,1,0.03659
2,2,0,2,2,1,2,-0.47028
2,2,2,1,1,1,1,-0.61381
1,2,1,1,8,1,5,-0.44737
2,2,4,2,1,1,3,1.00216
1,1,2,1,1,1,2,0.23433
2,2,1,2,3,1,3,-0.0966
1,2,2,1,1,1,4,-0.72257
2,2,3,2,1,1,2,-0.60916
2,2,3,2,1,1,3,-0.72257
2,1,3,2,1,1,3,-0.72257
2,2,0,2,1,1,1,-0.13039
2,2,3,2,1,1,1,-0.72257
2,1,5,2,1,1,4,-0.96282
2,2,2,1,1,1,5,-0.94009
1,2,2,1,1,1,4,-0.72257
2,2,5,2,1,1,5,-0.03386
2,1,4,1,5,1,3,-0.19121
2,1,7,2,1,1,4,-0.72257
1,1,3,2,1,1,1,-0.2741
1,2,5,2,1,1,4,-0.13522
1,0,1,1,4,1,3,-0.72257
2,1,5,2,1,2,2,-0.89584
1,2,1,1,8,2,4,-0.95352
2,2,1,1,3,2,1,-0.8648
1,2,1,2,4,4,5,-1.06319
2,2,3,2,1,1,5,-0.02365
1,2,3,2,1,1,3,-0.24451
2,2,3,2,2,1,3,-0.14276
2,1,4,2,1,1,2,0.48618
1,1,1,2,2,2,3,-0.18058
1,2,2,1,4,2,2,0.11517
2,2,3,2,1,1,3,-0.22992
2,2,0,2,1,1,2,-0.62049
1,1,1,1,3,1,1,-0.46688
1,2,0,1,3,1,2,-0.33551
2,1,1,1,3,2,3,-1.52219
1,1,1,1,4,2,2,-0.74959
1,1,1,1,4,2,2,-1.60248
1,2,1,1,2,2,3,-0.82931
1,1,1,1,8,2,3,-1.32361
2,2,4,2,1,1,4,-0.0913
2,2,3,2,1,1,3,0.11398
1,2,2,2,3,1,3,0.52303
2,2,4,2,1,1,5,0.7934
2,2,3,2,2,1,1,-0.08835
2,2,3,2,2,1,5,0.484
1,2,3,2,1,1,3,0.53082
2,2,3,2,1,1,3,0.08196
2,2,3,2,1,1,2,-0.24957
2,1,4,2,1,1,3,0.63218
2,2,3,2,1,1,5,0.45756
1,2,1,2,3,1,4,0.59258
1,2,1,2,3,1,3,0.37485
1,1,2,1,3,1,3,0.04314
2,1,3,2,1,1,4,-0.90893
1,2,3,2,1,1,5,-0.12626
2,2,3,2,1,1,3,0.03849
2,2,0,2,1,1,4,0.77571
1,2,1,2,8,1,3,0.45891
2,2,3,2,1,1,4,1.07117
1,2,1,2,4,1,3,-0.16698
1,1,1,2,3,1,3,0.21809
2,2,4,2,1,1,5,0.78875
2,2,3,2,2,1,5,0.52342
2,2,3,2,1,1,4,0.1519
2,2,5,2,5,1,3,0.44943
1,0,3,2,1,1,1,0.93228
2,1,3,2,9,1,3,0.5652
1,1,3,2,1,1,3,0.25287
1,2,3,2,1,1,2,0.46109
2,0,3,1,1,1,1,0.50287
2,2,5,2,2,1,5,0.46109
2,2,0,2,1,1,2,-0.20876
2,2,2,1,2,1,4,-0.19711
2,1,4,2,1,1,3,0.66212
2,1,6,1,1,1,3,0.61548
2,2,4,2,1,1,3,-0.0913
2,1,5,2,1,1,2,0.30223
1,2,1,1,3,2,1,0.51137
1,1,1,1,3,2,2,-0.23889
1,2,0,1,3,2,4,0.62348
1,2,1,1,3,2,3,0.77106
1,1,1,1,3,2,2,-0.15454
1,2,0,1,3,2,2,-0.26161
1,1,1,1,4,2,2,-0.09536
1,2,1,1,4,2,2,1.25817
2,1,4,2,1,1,3,0.20421
2,2,3,2,2,1,3,0.54797
2,2,0,2,1,1,2,0.05308
2,2,3,2,1,1,4,0.37805
2,2,5,2,1,1,4,-0.10498
1,1,3,2,1,1,1,0.83039
2,2,3,2,2,1,2,0.49886
2,2,3,2,2,1,4,-2.11481
2,2,2,2,2,1,1,0.79543
2,2,3,2,1,1,3,-0.15219
2,2,3,2,1,1,4,1.23689
2,2,3,2,2,1,4,0.24304
2,1,5,2,1,1,2,0.13911
1,2,3,2,1,1,2,0.79325
2,2,3,2,1,1,2,0.15214
2,2,4,2,2,1,4,0.43921
1,2,3,2,1,1,5,0.52289
